TransactionId,Portfolio,Type,ClientInternal,Units,Price,Currency,TradeDate,Strategy,CustodianAccount,Broker,SettlementDate,ValueDate,TradeTime,ExecutionVenue,OrderId,AllocationId,CounterpartyId,SettlementInstructionType,CommissionAmount,CommissionCurrency,TaxAmount,AccruedInterest,SettlementStatus,ConfirmationStatus,TradeSource,PlaceOfTrade,PlaceOfClearing,OriginalOrderType,CounterpartyName,SettlementMethod,PlaceOfSettlement,RegulatoryReportingStatus,ExecutingEntity
EQ-001,IBOR-EQ,Buy,IBOR-AAPL,1000,178.5,USD,2024-02-01,CoreEquity,CUST-BNY-001,GS,2024-02-02,2024-02-02,13:48:10,NYSE,ORD-20240201-0001,ALLOC-20240201-0001,CP-BNP,DVP,105.47,USD,0,0,Settled,Confirmed,Bloomberg OMS,CBOE,DTCC/NSCC,Limit,BNP Paribas,DVP,DTCC,Reported,IBOR Trading Desk
EQ-001B,IBOR-EQ,Buy,IBOR-AAPL,500,179.0,USD,2024-02-02,CoreEquity,CUST-BNY-001,JPM,2024-02-05,2024-02-05,12:15:03,NASDAQ,ORD-20240202-0002,ALLOC-20240202-0002,CP-JPM,DVP,24.03,USD,0,0,Settled,Confirmed,Manual Entry,NYSE,DTCC/NSCC,Market,JPMorgan,DVP,DTCC,Reported,IBOR Asset Management
EQ-002,IBOR-EQ,Buy,IBOR-MSFT,800,405.2,USD,2024-02-05,CoreEquity,CUST-BNY-001,JPM,2024-02-06,2024-02-06,16:49:08,NASDAQ,ORD-20240205-0003,ALLOC-20240205-0003,CP-UBS,DVP,310.38,USD,0,0,Settled,Confirmed,Charles River IMS,NYSE,LCH,Market,UBS,DVP,DTCC,Reported,IBOR Trading Desk
EQ-003,IBOR-EQ,Buy,IBOR-NVDA,250,680.0,USD,2024-02-15,GrowthEquity,CUST-BNY-001,MS,2024-02-16,2024-02-16,16:55:38,ARCA,ORD-20240215-0004,ALLOC-20240215-0004,CP-BARC,DVP,160.33,USD,0,0,Settled,Confirmed,Tradeweb,NYSE,LCH,Limit,Barclays,DVP,DTCC,Reported,IBOR Asset Management
EQ-004,IBOR-EQ,Buy,IBOR-JPM,1200,195.0,USD,2024-03-01,IncomeEquity,CUST-JPM-002,UBS,2024-03-04,2024-03-04,12:25:42,CBOE,ORD-20240301-0005,ALLOC-20240301-0005,CP-UBS,DVP,215.21,USD,0,0,Settled,Confirmed,Manual Entry,CBOE,LCH,VWAP,UBS,DVP,DTCC,Reported,IBOR Asset Management
EQ-004B,IBOR-EQ,Buy,IBOR-JPM,800,196.5,USD,2024-03-05,IncomeEquity,CUST-JPM-002,GS,2024-03-06,2024-03-06,11:14:04,CBOE,ORD-20240305-0006,ALLOC-20240305-0006,CP-GS,DVP,105.43,USD,0,0,Settled,Confirmed,Charles River IMS,NYSE,DTCC/NSCC,VWAP,Goldman Sachs,DVP,DTCC,Reported,IBOR Asset Management
EQ-005,IBOR-EQ,Buy,IBOR-JNJ,1200,155.0,USD,2024-03-10,IncomeEquity,CUST-JPM-002,GS,2024-03-11,2024-03-11,08:04:45,NYSE,ORD-20240310-0007,ALLOC-20240310-0007,CP-BARC,DVP,47.23,USD,0,0,Settled,Confirmed,Bloomberg OMS,LSE,DTCC/NSCC,LOC,Barclays,DVP,DTCC,Reported,IBOR Trading Desk
EQ-006,IBOR-EQ,Buy,IBOR-XOM,3000,105.0,USD,2024-03-15,CoreEquity,CUST-JPM-002,BARC,2024-03-18,2024-03-18,09:32:15,CBOE,ORD-20240315-0008,ALLOC-20240315-0008,CP-UBS,DVP,116.99,USD,0,0,Settled,Confirmed,Charles River IMS,NYSE,DTCC/NSCC,VWAP,UBS,DVP,DTCC,Reported,IBOR Trading Desk
EQ-007,IBOR-EQ,Buy,IBOR-PG,1000,160.0,USD,2024-04-01,IncomeEquity,CUST-STATE-003,JPM,2024-04-02,2024-04-02,11:50:30,ARCA,ORD-20240401-0009,ALLOC-20240401-0009,CP-BARC,DVP,44.07,USD,0,0,Settled,Confirmed,Tradeweb,LSE,LCH,VWAP,Barclays,DVP,DTCC,Reported,IBOR Trading Desk
EQ-008,IBOR-EQ,Buy,IBOR-V,600,280.0,USD,2024-04-10,GrowthEquity,CUST-BNY-001,MS,2024-04-11,2024-04-11,13:27:26,ARCA,ORD-20240410-0010,ALLOC-20240410-0010,CP-GS,DVP,124.1,USD,0,0,Settled,Confirmed,Tradeweb,CBOE,DTCC/NSCC,LOC,Goldman Sachs,DVP,DTCC,Reported,IBOR Asset Management
EQ-009,IBOR-EQ,Buy,IBOR-SHEL,8000,26.5,GBP,2024-04-15,IncomeEquity,CUST-STATE-003,BARC,2024-04-17,2024-04-17,08:25:46,CBOE,ORD-20240415-0011,ALLOC-20240415-0011,CP-JPM,DVP,84.57,GBP,1060.0,0,Settled,Confirmed,Charles River IMS,CBOE,LCH,LOC,JPMorgan,DVP,CREST,Reported,IBOR Trading Desk
EQ-010,IBOR-EQ,Buy,IBOR-AZN,300,112.0,GBP,2024-05-01,CoreEquity,CUST-STATE-003,BARC,2024-05-03,2024-05-03,10:27:11,CBOE,ORD-20240501-0012,ALLOC-20240501-0012,CP-UBS,DVP,13.43,GBP,168.0,0,Settled,Confirmed,Bloomberg OMS,LSE,Euroclear,VWAP,UBS,DVP,CREST,Reported,IBOR Trading Desk
EQ-010B,IBOR-EQ,Buy,IBOR-AZN,200,113.5,GBP,2024-05-02,GrowthEquity,CUST-STATE-003,BARC,2024-05-06,2024-05-06,16:06:03,NYSE,ORD-20240502-0013,ALLOC-20240502-0013,CP-JPM,DVP,21.36,GBP,113.5,0,Settled,Confirmed,Charles River IMS,NASDAQ,Clearstream,TWAP,JPMorgan,DVP,CREST,Reported,IBOR Asset Management
EQ-011,IBOR-EQ,Buy,IBOR-AAPL,500,185.0,USD,2024-05-15,CoreEquity,CUST-BNY-001,GS,2024-05-16,2024-05-16,14:31:30,NASDAQ,ORD-20240515-0014,ALLOC-20240515-0014,CP-DB,DVP,85.28,USD,0,0,Settled,Confirmed,Charles River IMS,NASDAQ,LCH,Market,Deutsche Bank,DVP,DTCC,Reported,IBOR Trading Desk
EQ-012,IBOR-EQ,Sell,IBOR-NVDA,100,720.0,USD,2024-06-01,GrowthEquity,CUST-BNY-001,MS,2024-06-03,2024-06-03,08:24:16,ARCA,ORD-20240601-0015,ALLOC-20240601-0015,CP-CITI,DVP,38.77,USD,0,0,Settled,Confirmed,Tradeweb,LSE,LCH,Limit,Citigroup,DVP,DTCC,Reported,IBOR Trading Desk
EQ-013,IBOR-EQ,Sell,IBOR-XOM,1000,115.0,USD,2024-06-15,CoreEquity,CUST-JPM-002,BARC,2024-06-17,2024-06-17,10:12:18,NASDAQ,ORD-20240615-0016,ALLOC-20240615-0016,CP-GS,DVP,76.28,USD,0,0,Settled,Confirmed,FIX Gateway,NYSE,LCH,VWAP,Goldman Sachs,DVP,DTCC,Reported,IBOR Asset Management
EQ-014,IBOR-EQ,Buy,IBOR-MSFT,200,420.0,USD,2024-07-01,CoreEquity,CUST-BNY-001,JPM,2024-07-02,2024-07-02,13:03:03,ARCA,ORD-20240701-0017,ALLOC-20240701-0017,CP-HSBC,DVP,78.58,USD,0,0,Settled,Confirmed,FIX Gateway,NASDAQ,LCH,VWAP,HSBC,DVP,DTCC,Reported,IBOR Asset Management
EQ-015,IBOR-EQ,Buy,IBOR-JPM,500,210.0,USD,2024-08-01,IncomeEquity,CUST-JPM-002,UBS,2024-08-02,2024-08-02,08:32:05,NASDAQ,ORD-20240801-0018,ALLOC-20240801-0018,CP-JPM,DVP,70.98,USD,0,0,Settled,Confirmed,Tradeweb,LSE,DTCC/NSCC,MOC,JPMorgan,DVP,DTCC,Reported,IBOR Asset Management
EQ-016,IBOR-EQ,Sell,IBOR-AAPL,500,195.0,USD,2024-09-01,CoreEquity,CUST-BNY-001,GS,2024-09-02,2024-09-02,14:07:56,NASDAQ,ORD-20240901-0019,ALLOC-20240901-0019,CP-GS,DVP,67.81,USD,0,0,Settled,Confirmed,Manual Entry,CBOE,LCH,MOC,Goldman Sachs,DVP,DTCC,Reported,IBOR Trading Desk
EQ-SPLIT-AAPL-JPM,IBOR-EQ,Buy,IBOR-AAPL,200,185.00,USD,2024-05-15,CoreEquity,CUST-JPM-002,JPM,2024-05-16,2024-05-16,12:13:42,CBOE,ORD-20240515-0020,ALLOC-20240515-0020,CP-BARC,DVP,15.26,USD,0,0,Settled,Confirmed,Charles River IMS,NASDAQ,DTCC/NSCC,MOC,Barclays,DVP,DTCC,Reported,IBOR Trading Desk
EQ-SPLIT-JPM-STATE,IBOR-EQ,Buy,IBOR-JPM,150,202.00,USD,2024-06-01,IncomeEquity,CUST-STATE-003,UBS,2024-06-03,2024-06-03,15:20:59,NYSE,ORD-20240601-0021,ALLOC-20240601-0021,CP-GS,DVP,17.17,USD,0,0,Settled,Confirmed,FIX Gateway,NYSE,LCH,MOC,Goldman Sachs,DVP,DTCC,Reported,IBOR Asset Management
