TransactionId,Portfolio,Type,ClientInternal,Units,Price,Currency,TradeDate,Strategy,CustodianAccount,Broker,SettlementDate,ValueDate,TradeTime,ExecutionVenue,OrderId,AllocationId,CounterpartyId,SettlementInstructionType,CommissionAmount,CommissionCurrency,TaxAmount,AccruedInterest,SettlementStatus,ConfirmationStatus,TradeSource,PlaceOfTrade,PlaceOfClearing,OriginalOrderType,CounterpartyName,SettlementMethod,PlaceOfSettlement,RegulatoryReportingStatus,ExecutingEntity
MA-EQ-001,IBOR-MA,Buy,IBOR-AAPL,500,180.00,USD,2024-03-01,EquityAllocation,CUST-BNY-001,GS,2024-03-04,2024-03-04,13:50:59,ARCA,ORD-20240301-0001,ALLOC-20240301-0001,CP-BARC,DVP,37.21,USD,0,0,Settled,Confirmed,Tradeweb,LSE,DTCC/NSCC,VWAP,Barclays,DVP,DTCC,Reported,IBOR Asset Management
MA-EQ-002,IBOR-MA,Buy,IBOR-MSFT,300,410.00,USD,2024-03-01,EquityAllocation,CUST-BNY-001,JPM,2024-03-04,2024-03-04,14:55:02,ARCA,ORD-20240301-0002,ALLOC-20240301-0002,CP-BARC,DVP,44.24,USD,0,0,Settled,Confirmed,Manual Entry,NYSE,DTCC/NSCC,LOC,Barclays,DVP,DTCC,Reported,IBOR Trading Desk
MA-EQ-003,IBOR-MA,Buy,IBOR-JPM,800,198.00,USD,2024-03-15,EquityAllocation,CUST-JPM-002,UBS,2024-03-18,2024-03-18,12:52:50,NASDAQ,ORD-20240315-0003,ALLOC-20240315-0003,CP-BARC,DVP,34.68,USD,0,0,Settled,Confirmed,Charles River IMS,CBOE,DTCC/NSCC,Limit,Barclays,DVP,DTCC,Reported,IBOR Trading Desk
MA-EQ-004,IBOR-MA,Buy,IBOR-SHEL,3000,27.00,GBP,2024-04-01,EquityAllocation,CUST-JPM-002,BARC,2024-04-03,2024-04-03,13:17:55,NYSE,ORD-20240401-0004,ALLOC-20240401-0004,CP-CITI,DVP,38.95,GBP,405.0,0,Settled,Confirmed,FIX Gateway,NYSE,Euroclear,TWAP,Citigroup,DVP,CREST,Reported,IBOR Trading Desk
MA-EQ-005A,IBOR-MA,Buy,IBOR-NVDA,100,690.00,USD,2024-04-10,GrowthAllocation,CUST-BNY-001,MS,2024-04-11,2024-04-11,16:21:01,NYSE,ORD-20240410-0005,ALLOC-20240410-0005,CP-CITI,DVP,23.66,USD,0,0,Settled,Confirmed,Aladdin,NASDAQ,LCH,Market,Citigroup,DVP,DTCC,Reported,IBOR Asset Management
MA-EQ-005B,IBOR-MA,Buy,IBOR-NVDA,50,695.00,USD,2024-04-15,GrowthAllocation,CUST-JPM-002,MS,2024-04-16,2024-04-16,09:38:27,CBOE,ORD-20240415-0006,ALLOC-20240415-0006,CP-BNP,DVP,19.08,USD,0,0,Settled,Confirmed,FIX Gateway,CBOE,DTCC/NSCC,TWAP,BNP Paribas,DVP,DTCC,Reported,IBOR Asset Management
MA-FI-001,IBOR-MA,Buy,IBOR-UST-4.5-2029,500000,0.995,USD,2024-04-01,BondAllocation,CUST-BNY-001,GS,2024-04-02,2024-04-02,14:57:36,NASDAQ,ORD-20240401-0007,ALLOC-20240401-0007,CP-CITI,DVP,117.17,USD,0,0,Settled,Confirmed,Manual Entry,CBOE,DTCC/NSCC,VWAP,Citigroup,DVP,DTCC,Reported,IBOR Asset Management
MA-FI-002,IBOR-MA,Buy,IBOR-FRN-SOFR-2028,1000000,1.001,USD,2024-05-01,BondAllocation,CUST-STATE-003,JPM,2024-05-02,2024-05-02,16:59:51,NASDAQ,ORD-20240501-0008,ALLOC-20240501-0008,CP-BNP,DVP,545.58,USD,0,0,Settled,Confirmed,Tradeweb,CBOE,LCH,TWAP,BNP Paribas,DVP,DTCC,Reported,IBOR Trading Desk
MA-FUT-001,IBOR-MA,Buy,IBOR-ESZ4,10,5450.00,USD,2024-06-01,IndexAllocation,CUST-BNY-001,GS,2024-06-03,2024-06-03,13:42:54,NYSE,ORD-20240601-0009,ALLOC-20240601-0009,CP-CITI,DVP,33.01,USD,0,0,Settled,Confirmed,Tradeweb,CBOE,LCH,Limit,Citigroup,DVP,DTCC,Reported,IBOR Trading Desk
MA-FUT-002,IBOR-MA,Buy,IBOR-TYZ4,20,110.50,USD,2024-06-15,RatesHedge,CUST-JPM-002,JPM,2024-06-17,2024-06-17,13:25:44,CBOE,ORD-20240615-0010,ALLOC-20240615-0010,CP-HSBC,DVP,0.67,USD,0,0,Settled,Confirmed,Manual Entry,NYSE,DTCC/NSCC,MOC,HSBC,DVP,DTCC,Reported,IBOR Trading Desk
