TransactionId,Portfolio,Type,ClientInternal,Units,Price,Currency,TradeDate,Strategy,CustodianAccount,Broker,SettlementDate,ValueDate,TradeTime,ExecutionVenue,OrderId,AllocationId,CounterpartyId,SettlementInstructionType,CommissionAmount,CommissionCurrency,TaxAmount,AccruedInterest,SettlementStatus,ConfirmationStatus,TradeSource,PlaceOfTrade,PlaceOfClearing,OriginalOrderType,CounterpartyName,SettlementMethod,PlaceOfSettlement,RegulatoryReportingStatus,ExecutingEntity
AI-001,IBOR-AITECH,Buy,IBOR-NVDA,938,213.17,USD,2024-03-01,AICore,CUST-BNY-001,GS,2024-03-04,2024-03-04,11:49:33,ARCA,ORD-20240301-0001,ALLOC-20240301-0001,CP-UBS,DVP,185.32,USD,0,0,Settled,Confirmed,Aladdin,NYSE,DTCC/NSCC,LOC,UBS,DVP,DTCC,Reported,IBOR Trading Desk
AI-002,IBOR-AITECH,Buy,IBOR-AVGO,500,399.83,USD,2024-03-06,AICore,CUST-JPM-002,JPM,2024-03-07,2024-03-07,12:36:39,NYSE,ORD-20240306-0002,ALLOC-20240306-0002,CP-JPM,DVP,191.53,USD,0,0,Settled,Confirmed,Charles River IMS,NYSE,DTCC/NSCC,Market,JPMorgan,DVP,DTCC,Reported,IBOR Asset Management
AI-004,IBOR-AITECH,Buy,IBOR-TSM,509,392.34,USD,2024-03-16,AICore,CUST-BNY-001,UBS,2024-03-18,2024-03-18,12:42:05,NASDAQ,ORD-20240316-0003,ALLOC-20240316-0003,CP-BARC,DVP,67.71,USD,0,0,Settled,Confirmed,Bloomberg OMS,LSE,DTCC/NSCC,MOC,Barclays,DVP,DTCC,Reported,IBOR Asset Management
AI-005,IBOR-AITECH,Buy,IBOR-LRCX,796,251.23,USD,2024-03-21,AICore,CUST-JPM-002,BARC,2024-03-22,2024-03-22,08:26:28,ARCA,ORD-20240321-0004,ALLOC-20240321-0004,CP-CITI,DVP,45.22,USD,0,0,Settled,Confirmed,Aladdin,NASDAQ,DTCC/NSCC,TWAP,Citigroup,DVP,DTCC,Reported,IBOR Trading Desk
AI-006,IBOR-AITECH,Buy,IBOR-GOOGL,571,349.78,USD,2024-03-26,AICore,CUST-STATE-003,CS,2024-03-27,2024-03-27,15:04:43,NASDAQ,ORD-20240326-0005,ALLOC-20240326-0005,CP-CITI,DVP,165.82,USD,0,0,Settled,Confirmed,Tradeweb,LSE,LCH,VWAP,Citigroup,DVP,DTCC,Reported,IBOR Asset Management
AI-007,IBOR-AITECH,Buy,IBOR-TSEM,1033,193.55,USD,2024-03-31,AICore,CUST-BNY-001,GS,2024-04-01,2024-04-01,14:07:34,NASDAQ,ORD-20240331-0006,ALLOC-20240331-0006,CP-MS,DVP,185.29,USD,0,0,Settled,Confirmed,Charles River IMS,LSE,LCH,TWAP,Morgan Stanley,DVP,DTCC,Reported,IBOR Asset Management
AI-008,IBOR-AITECH,Buy,IBOR-AMD,618,323.21,USD,2024-04-05,AICore,CUST-JPM-002,JPM,2024-04-08,2024-04-08,08:10:50,CBOE,ORD-20240405-0007,ALLOC-20240405-0007,CP-CITI,DVP,110.12,USD,0,0,Settled,Confirmed,Manual Entry,CBOE,LCH,LOC,Citigroup,DVP,DTCC,Reported,IBOR Trading Desk
AI-009,IBOR-AITECH,Buy,IBOR-3017,2267,88.22,TWD,2024-04-10,AICore,CUST-STATE-003,MS,2024-04-11,2024-04-11,14:17:32,ARCA,ORD-20240410-0008,ALLOC-20240410-0008,CP-UBS,DVP,52.87,TWD,0,0,Settled,Confirmed,Bloomberg OMS,CBOE,Clearstream,LOC,UBS,DVP,DTCC,Reported,IBOR Trading Desk
AI-010,IBOR-AITECH,Buy,IBOR-LITE,252,791.37,USD,2024-04-15,AICore,CUST-BNY-001,UBS,2024-04-16,2024-04-16,13:38:16,NYSE,ORD-20240415-0009,ALLOC-20240415-0009,CP-JPM,DVP,76.41,USD,0,0,Settled,Confirmed,Tradeweb,LSE,DTCC/NSCC,LOC,JPMorgan,DVP,DTCC,Reported,IBOR Asset Management
AI-011,IBOR-AITECH,Buy,IBOR-MU,396,504.29,USD,2024-04-20,AICore,CUST-JPM-002,BARC,2024-04-22,2024-04-22,12:36:02,NASDAQ,ORD-20240420-0010,ALLOC-20240420-0010,CP-UBS,DVP,122.85,USD,0,0,Settled,Confirmed,Manual Entry,NASDAQ,LCH,TWAP,UBS,DVP,DTCC,Reported,IBOR Trading Desk
AI-012,IBOR-AITECH,Buy,IBOR-FN,313,637.74,USD,2024-04-25,AICore,CUST-STATE-003,CS,2024-04-26,2024-04-26,10:37:27,ARCA,ORD-20240425-0011,ALLOC-20240425-0011,CP-JPM,DVP,114.98,USD,0,0,Settled,Confirmed,Manual Entry,NASDAQ,LCH,Limit,JPMorgan,DVP,DTCC,Reported,IBOR Trading Desk
AI-013,IBOR-AITECH,Buy,IBOR-2383,1440,138.84,TWD,2024-04-30,AICore,CUST-BNY-001,GS,2024-05-01,2024-05-01,13:42:06,NASDAQ,ORD-20240430-0012,ALLOC-20240430-0012,CP-BNP,DVP,105.83,TWD,0,0,Settled,Confirmed,Manual Entry,LSE,Euroclear,VWAP,BNP Paribas,DVP,DTCC,Reported,IBOR Trading Desk
AI-014,IBOR-AITECH,Buy,IBOR-MPWR,132,1504.08,USD,2024-05-05,AICore,CUST-JPM-002,JPM,2024-05-06,2024-05-06,14:52:48,NYSE,ORD-20240505-0013,ALLOC-20240505-0013,CP-UBS,DVP,53.69,USD,0,0,Settled,Confirmed,Aladdin,CBOE,LCH,MOC,UBS,DVP,DTCC,Reported,IBOR Trading Desk
AI-015,IBOR-AITECH,Buy,IBOR-INTC,2366,84.52,USD,2024-05-10,AICore,CUST-STATE-003,MS,2024-05-13,2024-05-13,09:49:25,NYSE,ORD-20240510-0014,ALLOC-20240510-0014,CP-HSBC,DVP,113.9,USD,0,0,Settled,Confirmed,Bloomberg OMS,CBOE,LCH,VWAP,HSBC,DVP,DTCC,Reported,IBOR Asset Management
AI-016,IBOR-AITECH,Buy,IBOR-3661,1575,126.94,TWD,2024-05-15,AICore,CUST-BNY-001,UBS,2024-05-16,2024-05-16,16:23:39,ARCA,ORD-20240515-0015,ALLOC-20240515-0015,CP-UBS,DVP,161.54,TWD,0,0,Settled,Confirmed,Charles River IMS,LSE,LCH,MOC,UBS,DVP,DTCC,Reported,IBOR Trading Desk
AI-017,IBOR-AITECH,Buy,IBOR-6857,1073,186.27,JPY,2024-05-20,AICore,CUST-JPM-002,BARC,2024-05-21,2024-05-21,16:08:59,CBOE,ORD-20240520-0016,ALLOC-20240520-0016,CP-UBS,DVP,180.82,JPY,0,0,Settled,Confirmed,Manual Entry,NASDAQ,Clearstream,VWAP,UBS,DVP,DTCC,Reported,IBOR Asset Management
AI-018,IBOR-AITECH,Buy,IBOR-CLS,553,361.54,USD,2024-05-25,AICore,CUST-STATE-003,CS,2024-05-27,2024-05-27,08:40:38,NASDAQ,ORD-20240525-0017,ALLOC-20240525-0017,CP-MS,DVP,89.69,USD,0,0,Settled,Confirmed,Bloomberg OMS,NYSE,DTCC/NSCC,Market,Morgan Stanley,DVP,DTCC,Reported,IBOR Trading Desk
