TransactionId,Portfolio,Type,ClientInternal,Units,Price,Currency,TradeDate,Strategy,CustodianAccount,Broker,SettlementDate,ValueDate,TradeTime,ExecutionVenue,OrderId,AllocationId,CounterpartyId,SettlementInstructionType,CommissionAmount,CommissionCurrency,TaxAmount,AccruedInterest,SettlementStatus,ConfirmationStatus,TradeSource,PlaceOfTrade,PlaceOfClearing,OriginalOrderType,CounterpartyName,SettlementMethod,PlaceOfSettlement,RegulatoryReportingStatus,ExecutingEntity
BLKC-001,IBOR-BLKC,Buy,IBOR-COIN,1792,194.10,USD,2024-04-01,BlockchainCore,CUST-BNY-001,GS,2024-04-02,2024-04-02,14:14:54,ARCA,ORD-20240401-0001,ALLOC-20240401-0001,CP-GS,DVP,158.1,USD,0,0,Settled,Confirmed,Manual Entry,NASDAQ,DTCC/NSCC,LOC,Goldman Sachs,DVP,DTCC,Reported,IBOR Trading Desk
BLKC-002,IBOR-BLKC,Buy,IBOR-CRCL,3469,94.35,USD,2024-04-04,BlockchainCore,CUST-JPM-002,JPM,2024-04-05,2024-04-05,14:42:50,NASDAQ,ORD-20240404-0002,ALLOC-20240404-0002,CP-UBS,DVP,318.09,USD,0,0,Settled,Confirmed,Charles River IMS,LSE,DTCC/NSCC,VWAP,UBS,DVP,DTCC,Reported,IBOR Trading Desk
BLKC-003,IBOR-BLKC,Buy,IBOR-IREN,6584,44.44,USD,2024-04-07,BlockchainCore,CUST-STATE-003,MS,2024-04-08,2024-04-08,09:55:54,ARCA,ORD-20240407-0003,ALLOC-20240407-0003,CP-JPM,DVP,181.63,USD,0,0,Settled,Confirmed,Manual Entry,CBOE,LCH,VWAP,JPMorgan,DVP,DTCC,Reported,IBOR Asset Management
BLKC-004,IBOR-BLKC,Buy,IBOR-BMNR,9457,21.48,USD,2024-04-10,BlockchainCore,CUST-BNY-001,UBS,2024-04-11,2024-04-11,10:26:55,NASDAQ,ORD-20240410-0004,ALLOC-20240410-0004,CP-JPM,DVP,116.92,USD,0,0,Settled,Confirmed,Aladdin,NASDAQ,LCH,LOC,JPMorgan,DVP,DTCC,Reported,IBOR Trading Desk
BLKC-005,IBOR-BLKC,Buy,IBOR-AMD,612,323.21,USD,2024-04-13,BlockchainCore,CUST-JPM-002,BARC,2024-04-15,2024-04-15,14:41:05,CBOE,ORD-20240413-0005,ALLOC-20240413-0005,CP-HSBC,DVP,99.69,USD,0,0,Settled,Confirmed,Aladdin,CBOE,LCH,Market,HSBC,DVP,DTCC,Reported,IBOR Trading Desk
BLKC-006,IBOR-BLKC,Buy,IBOR-APLD,5545,32.11,USD,2024-04-16,BlockchainCore,CUST-STATE-003,CS,2024-04-17,2024-04-17,16:02:39,NYSE,ORD-20240416-0006,ALLOC-20240416-0006,CP-BARC,DVP,125.51,USD,0,0,Settled,Confirmed,Aladdin,NASDAQ,LCH,MOC,Barclays,DVP,DTCC,Reported,IBOR Asset Management
BLKC-007,IBOR-BLKC,Buy,IBOR-HUT,2421,72.11,USD,2024-04-19,BlockchainCore,CUST-BNY-001,GS,2024-04-22,2024-04-22,09:27:06,NYSE,ORD-20240419-0007,ALLOC-20240419-0007,CP-UBS,DVP,58.15,USD,0,0,Settled,Confirmed,Aladdin,CBOE,DTCC/NSCC,TWAP,UBS,DVP,DTCC,Reported,IBOR Asset Management
BLKC-008,IBOR-BLKC,Buy,IBOR-NVDA,662,213.17,USD,2024-04-22,BlockchainCore,CUST-JPM-002,JPM,2024-04-23,2024-04-23,08:20:50,NYSE,ORD-20240422-0008,ALLOC-20240422-0008,CP-CITI,DVP,68.69,USD,0,0,Settled,Confirmed,Manual Entry,CBOE,LCH,LOC,Citigroup,DVP,DTCC,Reported,IBOR Asset Management
BLKC-009,IBOR-BLKC,Buy,IBOR-CORZ,6502,20.02,USD,2024-04-25,BlockchainCore,CUST-STATE-003,MS,2024-04-26,2024-04-26,11:33:26,NASDAQ,ORD-20240425-0009,ALLOC-20240425-0009,CP-MS,DVP,44.27,USD,0,0,Settled,Confirmed,FIX Gateway,LSE,LCH,Market,Morgan Stanley,DVP,DTCC,Reported,IBOR Trading Desk
BLKC-010,IBOR-BLKC,Buy,IBOR-RIOT,7588,16.57,USD,2024-04-28,BlockchainCore,CUST-BNY-001,UBS,2024-04-29,2024-04-29,11:31:58,NASDAQ,ORD-20240428-0010,ALLOC-20240428-0010,CP-BARC,DVP,71.53,USD,0,0,Settled,Confirmed,Aladdin,NYSE,DTCC/NSCC,MOC,Barclays,DVP,DTCC,Reported,IBOR Trading Desk
BLKC-011,IBOR-BLKC,Buy,IBOR-WULF,5984,20.80,USD,2024-05-01,BlockchainCore,CUST-JPM-002,BARC,2024-05-02,2024-05-02,12:42:00,ARCA,ORD-20240501-0011,ALLOC-20240501-0011,CP-CITI,DVP,92.37,USD,0,0,Settled,Confirmed,Charles River IMS,LSE,DTCC/NSCC,VWAP,Citigroup,DVP,DTCC,Reported,IBOR Asset Management
BLKC-012,IBOR-BLKC,Buy,IBOR-CIFR,7159,17.26,USD,2024-05-04,BlockchainCore,CUST-STATE-003,CS,2024-05-06,2024-05-06,15:22:37,CBOE,ORD-20240504-0012,ALLOC-20240504-0012,CP-DB,DVP,92.95,USD,0,0,Settled,Confirmed,Manual Entry,NASDAQ,DTCC/NSCC,VWAP,Deutsche Bank,DVP,DTCC,Reported,IBOR Trading Desk
BLKC-013,IBOR-BLKC,Buy,IBOR-MA,225,507.62,USD,2024-05-07,BlockchainCore,CUST-BNY-001,GS,2024-05-08,2024-05-08,11:24:54,ARCA,ORD-20240507-0013,ALLOC-20240507-0013,CP-JPM,DVP,44.52,USD,0,0,Settled,Confirmed,FIX Gateway,LSE,LCH,Market,JPMorgan,DVP,DTCC,Reported,IBOR Trading Desk
BLKC-014,IBOR-BLKC,Buy,IBOR-GLXY,4068,26.36,USD,2024-05-10,BlockchainCore,CUST-JPM-002,JPM,2024-05-13,2024-05-13,12:44:18,NYSE,ORD-20240510-0014,ALLOC-20240510-0014,CP-DB,DVP,44.99,USD,0,0,Settled,Confirmed,FIX Gateway,LSE,DTCC/NSCC,MOC,Deutsche Bank,DVP,DTCC,Reported,IBOR Asset Management
BLKC-015,IBOR-BLKC,Buy,IBOR-700,1773,60.46,HKD,2024-05-13,BlockchainCore,CUST-STATE-003,MS,2024-05-14,2024-05-14,15:53:57,CBOE,ORD-20240513-0015,ALLOC-20240513-0015,CP-BARC,DVP,73.5,HKD,0,0,Settled,Confirmed,Aladdin,NYSE,Euroclear,TWAP,Barclays,DVP,DTCC,Reported,IBOR Asset Management
BLKC-016,IBOR-BLKC,Buy,IBOR-IBM,455,233.04,USD,2024-05-16,BlockchainCore,CUST-BNY-001,UBS,2024-05-17,2024-05-17,11:39:16,NASDAQ,ORD-20240516-0016,ALLOC-20240516-0016,CP-JPM,DVP,97.84,USD,0,0,Settled,Confirmed,Tradeweb,LSE,DTCC/NSCC,Limit,JPMorgan,DVP,DTCC,Reported,IBOR Asset Management
BLKC-017,IBOR-BLKC,Buy,IBOR-MARA,8098,11.02,USD,2024-05-19,BlockchainCore,CUST-JPM-002,BARC,2024-05-20,2024-05-20,12:50:28,NYSE,ORD-20240519-0017,ALLOC-20240519-0017,CP-BNP,DVP,70.13,USD,0,0,Settled,Confirmed,Bloomberg OMS,NYSE,LCH,MOC,BNP Paribas,DVP,DTCC,Reported,IBOR Trading Desk
BLKC-018,IBOR-BLKC,Buy,IBOR-CLSK,5379,11.79,USD,2024-05-22,BlockchainCore,CUST-STATE-003,CS,2024-05-23,2024-05-23,13:47:26,NASDAQ,ORD-20240522-0018,ALLOC-20240522-0018,CP-BARC,DVP,19.39,USD,0,0,Settled,Confirmed,FIX Gateway,NASDAQ,LCH,LOC,Barclays,DVP,DTCC,Reported,IBOR Trading Desk
